"Confirmed date","Country","Lat","Long","HPAI strain","WOAH Classification","Cases"
2021-12-17,"Sweden",60.128161,18.643501,"H5N1","Wild birds","1"
2021-12-17,"Poland",51.9194,19.1451,"H5N1","Farm","2"
2021-12-17,"Italy",41.87194,12.56738,"H5N1","Farm","7"
2021-12-17,"Hungary",47.1625,19.5033,"H5N1","Farm","2"
2021-12-17,"Germany",51.165691,10.451526,"H5N1","Farm","1"
2021-12-17,"Germany",51.165691,10.451526,"H5N1","Wild birds","17"
2021-12-17,"France",46.2276,2.2137,"H5N1","Farm","1"
2021-12-17,"Denmark",56.2639,9.5018,"H5N1","Wild birds","1"
2021-12-17,"The Netherlands",52.1326,5.2913,"H5","Farm","1"
2021-12-17,"Bulgaria",42.7339,25.4858,"H5","Farm","1"
2021-12-18,"Poland",51.9194,19.1451,"H5N1","Farm","1"
2021-12-18,"Italy",41.87194,12.56738,"H5N1","Farm","3"
